"시점","행정구역별(1)","동물치료기관별(1)",데이터
"2016","인천","동물병원",4
"2016","인천","관리단체 또는 축산관련 기관",-
"2016","인천","야생동물 구조센터",-
"2016","광주","계",2
"2016","광주","동물병원",2
"2016","광주","관리단체 또는 축산관련 기관",-
"2016","광주","야생동물 구조센터",-
"2016","대전","계",5
"2016","대전","동물병원",5
"2016","대전","관리단체 또는 축산관련 기관",-
"2016","대전","야생동물 구조센터",-
"2016","울산","계",5
"2016","울산","동물병원",4
"2016","울산","관리단체 또는 축산관련 기관",-
"2016","울산","야생동물 구조센터",1
"2016","경기","계",25
"2016","경기","동물병원",23
"2016","경기","관리단체 또는 축산관련 기관",-
"2016","경기","야생동물 구조센터",2
"2016","강원","계",20
"2016","강원","동물병원",12
"2016","강원","관리단체 또는 축산관련 기관",5
"2016","강원","야생동물 구조센터",3
"2016","충북","계",8
"2016","충북","동물병원",5
"2016","충북","관리단체 또는 축산관련 기관",2
"2016","충북","야생동물 구조센터",1
"2016","충남","계",16
"2016","충남","동물병원",14
"2016","충남","관리단체 또는 축산관련 기관",-
"2016","충남","야생동물 구조센터",2
"2016","전북","계",19
"2016","전북","동물병원",17
"2016","전북","관리단체 또는 축산관련 기관",-
"2016","전북","야생동물 구조센터",2
"2016","전남","계",17
"2016","전남","동물병원",15
"2016","전남","관리단체 또는 축산관련 기관",-
"2016","전남","야생동물 구조센터",2
"2016","경북","계",32
"2016","경북","동물병원",30
"2016","경북","관리단체 또는 축산관련 기관",-
"2016","경북","야생동물 구조센터",2
"2016","경남","계",20
"2016","경남","동물병원",17
"2016","경남","관리단체 또는 축산관련 기관",-
"2016","경남","야생동물 구조센터",3
"2016","제주","계",5
"2016","제주","동물병원",3
"2016","제주","관리단체 또는 축산관련 기관",2
"2016","제주","야생동물 구조센터",-
"2017","전국","계",218
"2017","전국","동물병원",186
"2017","전국","관리단체 또는 축산관련 기관",10
"2017","전국","야생동물 구조센터",22
"2017","서울","계",21
"2017","서울","동물병원",19
